Temp [C],Umid. Relativa,Vazão [m3/min],Pres. Total [Pa],Pres. Estatica [Pa],Pres. Dinâmica [Pa],Pres. Placa o. [Pa],Teste
24.248,66.335,0.611,-117.332,-105.095,-12.237,179.638,1
24.288,66.376,0.612,-117.469,-105.25,-12.219,210.156,1
24.334,66.444,0.611,-117.072,-104.791,-12.281,171.093,1
24.38,66.553,0.612,-116.187,-103.723,-12.464,233.349,1
24.423,66.707,0.615,-114.915,-102.175,-12.74,223.584,1
24.458,66.891,0.621,-113.122,-100.092,-13.03,151.562,1
24.481,67.088,0.629,-110.805,-97.477,-13.328,103.955,1
24.486,67.271,0.638,-108.092,-94.452,-13.64,134.472,1
24.475,67.418,0.647,-104.839,-90.919,-13.92,197.949,1
24.451,67.521,0.656,-101.009,-86.879,-14.13,189.404,1
24.421,67.575,0.664,-96.797,-82.564,-14.233,116.162,1
24.378,67.57,0.672,-92.268,-78.027,-14.241,103.955,1
24.311,67.5,0.677,-87.522,-73.327,-14.195,162.549,1
24.222,67.37,0.679,-82.695,-68.624,-14.071,244.336,1
24.109,67.2,0.679,-77.845,-64.018,-13.827,199.17,1
23.979,67.013,0.677,-73.022,-59.584,-13.438,132.031,1
23.848,66.826,0.674,-68.287,-55.356,-12.931,175.976,1
23.731,66.657,0.671,-63.636,-51.317,-12.319,144.238,1
23.641,66.526,0.668,-59.003,-47.402,-11.601,110.058,1
23.586,66.447,0.665,-54.34,-43.522,-10.818,117.383,1
23.585,66.421,0.663,-49.581,-39.544,-10.037,160.107,1
24.593,67.822,0.684,104.398,104.917,-0.519,150.342,1
24.698,67.799,0.689,108.451,107.712,0.739,179.638,1
24.782,67.755,0.692,111.03,108.685,2.345,182.08,1
24.565,68.732,0.629,3.125,-0.412,3.537,167.431,1
24.557,68.757,0.624,-0.575,0.07,-0.645,147.9,1
24.54,68.702,0.62,-3.844,0.977,-4.821,107.617,1
24.516,68.577,0.617,-6.327,2.588,-8.915,189.404,1
24.482,68.4,0.616,-7.893,4.952,-12.845,119.824,1
24.435,68.203,0.616,-8.868,7.775,-16.643,189.404,1
24.376,68.004,0.618,-9.43,10.862,-20.292,147.9,1
24.316,67.802,0.621,-9.508,14.156,-23.664,108.838,1
24.264,67.611,0.624,-9.128,17.521,-26.649,191.845,1
24.223,67.428,0.627,-8.411,20.725,-29.136,189.404,1
24.191,67.257,0.631,-7.359,23.683,-31.042,195.508,1
24.168,67.107,0.635,-5.874,26.445,-32.319,180.859,1
24.145,66.992,0.64,-4.117,28.806,-32.923,140.576,1
